File number	Encoding	Confidence
571	utf-8	0.99
572	utf-8	0.99
573	utf-8	0.99
574	utf-8	0.99
575	utf-8	0.99
576	utf-8	0.99
577	utf-8	0.99
578	utf-8	0.99
579	utf-8	0.99
580	utf-8	0.99
581	utf-8	0.99
582	utf-8	0.99
583	utf-8	0.99
584	utf-8	0.99
585	utf-8	0.99
586	utf-8	0.99
587	utf-8	0.99
588	utf-8	0.99
589	utf-8	0.99
590	utf-8	0.99
591	utf-8	0.99
592	utf-8	0.99
593	utf-8	0.99
594	utf-8	0.99
595	utf-8	0.99
596	utf-8	0.99
597	utf-8	0.99
598	utf-8	0.99
599	utf-8	0.99
600	utf-8	0.99
601	utf-8	0.99
602	utf-8	0.99
603	utf-8	0.99
604	utf-8	0.99
605	utf-8	0.99
606	utf-8	0.99
607	utf-8	0.99
608	utf-8	0.99
609	utf-8	0.99
610	utf-8	0.99
611	utf-8	0.99
612	utf-8	0.99
613	utf-8	0.99
614	utf-8	0.99
615	utf-8	0.99
616	utf-8	0.99
617	utf-8	0.99
618	utf-8	0.99
619	utf-8	0.99
620	utf-8	0.99
621	utf-8	0.99
622	utf-8	0.99
623	utf-8	0.99
624	utf-8	0.99
625	utf-8	0.99
626	utf-8	0.99
627	utf-8	0.99
628	utf-8	0.99
629	utf-8	0.99
630	utf-8	0.99
631	utf-8	0.99
632	utf-8	0.99
633	utf-8	0.99
634	utf-8	0.99
635	utf-8	0.99
636	utf-8	0.99
637	utf-8	0.99
638	utf-8	0.99
639	utf-8	0.99
640	utf-8	0.99
641	utf-8	0.99
642	utf-8	0.99
643	utf-8	0.99
644	utf-8	0.99
645	utf-8	0.99
646	utf-8	0.99
647	utf-8	0.99
648	utf-8	0.99
649	utf-8	0.99
650	utf-8	0.99
651	utf-8	0.99
652	utf-8	0.99
653	utf-8	0.99
654	utf-8	0.99
655	utf-8	0.99
656	utf-8	0.99
657	utf-8	0.99
658	utf-8	0.99
659	utf-8	0.99
660	utf-8	0.99
661	utf-8	0.99
662	utf-8	0.99
663	utf-8	0.99
664	utf-8	0.99
665	utf-8	0.99
666	utf-8	0.99
667	utf-8	0.99
668	utf-8	0.99
669	utf-8	0.99
670	utf-8	0.99
671	utf-8	0.99
672	utf-8	0.99
673	utf-8	0.99
674	utf-8	0.99
675	utf-8	0.99
676	utf-8	0.99
677	utf-8	0.99
678	utf-8	0.99
679	utf-8	0.99
680	utf-8	0.99
681	utf-8	0.99
682	utf-8	0.99
683	utf-8	0.99
684	utf-8	0.99
685	utf-8	0.99
686	utf-8	0.99
687	utf-8	0.99
688	utf-8	0.99
689	utf-8	0.99
690	utf-8	0.99
691	utf-8	0.99
692	utf-8	0.99
693	utf-8	0.99
694	utf-8	0.99
695	utf-8	0.99
696	utf-8	0.99
697	utf-8	0.99
698	utf-8	0.99
699	utf-8	0.99
700	utf-8	0.99
701	utf-8	0.99
702	utf-8	0.99
703	utf-8	0.99
704	utf-8	0.99
705	utf-8	0.99
706	utf-8	0.99
707	utf-8	0.99
708	utf-8	0.99
709	utf-8	0.99
710	utf-8	0.99
711	utf-8	0.99
712	utf-8	0.99
713	utf-8	0.99
714	utf-8	0.99
715	utf-8	0.99
716	utf-8	0.99
717	utf-8	0.99
718	utf-8	0.99
719	utf-8	0.99
720	utf-8	0.99
721	utf-8	0.99
722	utf-8	0.99
723	utf-8	0.99
724	utf-8	0.99
